No,Testcase_ID,HSD_ID,Testcase_Name,Domain,Script in WSS store
1,,16011968823,Verify_HDCP2_2_On_DP_Interface_With_HPD,Content_Protection,Script uploaded
2,,16011968834,Verify_HDCP2_2_On_HDMI_Interface_With_HPD,Content_Protection,Script uploaded
3,,16011968873,Verify Display Configuration Extended Dual Display-D0 + Display-D1(DP),Display,Script uploaded
4,,16011968955,Verify_VP9_Video_4K_60_YUV420_8_Via_YouTube,Media,Script uploaded
5,,16012328592,Verify_Netflix_Video_On_Primary_Display_Basic_Func,Media,Script uploaded
6,,16012328653,Verify Intel Video Transcoding H265_4K_30FPS To H264_1080_30FPS on SUT,Media,Script uploaded
7,,16012328655,Verify Intel Video Transcoding H264_4K_60FPS To H265_1080_30FPS on SUT,Media,Script uploaded
8,,16012329044,Verify Driver Essential - Graphics Driver Disable Enable basic function,Display,Script uploaded
9,,16011968858,Verify_H265_Video_4K_60_YUV420_10_HDR_Via_MTV_On_eDP_HDR_Panel,Display,yet to upload
10,,16011968881,Verify Display Power Conservation Feature eDP - PSR1,Display,yet to upload
11,,16011968912,Verify 3D Mark Benchmark DX11 on Intel GPU,Graphics,yet to upload
12,,16012399324,Verify_H265_Video_4K_60_YUV420_10_HDR_Via_MTV_On_DP_HDR_Panel_With_HPD,Media,yet to upload
13,,16012399326,Verify_H265_Video_4K_60_YUV420_10_HDR_Via_MTV_On_HDMI_HDR_Panel_With_HPD,Media,yet to upload
14,,16011968914,Verify 3D Mark Benchmark DX12 on Intel GPU,Graphics,yet to upload
15,,2006738397,Veriy photo sequence using UF camera,Imaging,yet to upload
16,,2007629719,Verify photo sequence using WF camera,Imaging,yet to upload
17,,2201141676,Verify Camera Preview using WF and UF Camera,Imaging,yet to upload
18,,2201141897_UF,Verify Video Recording with maximum supported resolution @30fps using WF and UF camera,Imaging,yet to upload
19,,2201141897_WF,Verify Video Recording with maximum supported resolution @30fps using WF and UF camera,Imaging,yet to upload
20,,2201142375,Verify Captured image EXIF details,Imaging,yet to upload
21,,2206658640_UF,Verify Image capture with maximum resolution using WF and UF camera,Imaging,yet to upload
22,,2206658640_WF,Verify Image capture with maximum resolution using WF and UF camera,Imaging,yet to upload
23,,2201141897,Verify Video Recording with maximum supported resolution @30fps using WF Camera,Imaging,yet to upload
24,,16013005953,Verify Video Recording with maximum supported resolution @30fps using UF camera,Imaging,yet to upload
25,,2206658640,Verify Image capture with maximum resolution using WF,Imaging,yet to upload
26,,16013005903,Verify Image capture with maximum resolution using UF camera,Imaging,yet to upload
27,,16011968897,Verify OpenCL Cross-platform LuxMark benchmark tool on Intel GPU,Graphics,yet to upload
28,,16011968901,Verify GPU Caps Viewer OpenGL Demos on Intel GPU,Graphics,yet to upload
