No,Testcase_ID,HSD_ID,Testcase_Name,Test_Scripts_Count,Timeout_in_Mins,Dependencies,Domain,Script in WSS store
1,PSPV-TCs-1194,,Verify MPO feature during video playback on Internal-display,1,130,Need to ensure timings(timeout),Graphics,Script uploaded
2,PSPV-TCs-9996,,Verify audio playback during back to back conversion of operation modes,1,130,Need to ensure timings(timeout),Audio,Script uploaded
3,PSPV-TC-14077,,Verify audio recording with different boost levels ,1,130,Need to ensure timings(timeout),Audio,Script uploaded
4,PSPV-TC-14311,,Verify WiFi browsing functionality after turning it ON/OFF for 5 cycles,1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
5,PSPV-TC-14078,,Verify voice recording through USB headset,1,130,Need to ensure timings(timeout),Audio,Script uploaded
6,PSPV-TC-14359,,Verify FTP file download over WLAN 802.11n on 2.4GHz and 5 GHz ,1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
7,PSPV-TC-14405,,Verify HEVC 10 Bit Overnight playback using Movies_TV app,1,130,Need to ensure timings(timeout),Video,Script uploaded
8,PSPV-TC-15032,,Verify WLAN Browsing after S3 cycles (x5),1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
9,PSPV-TCs-829,,Long duration Video Streaming over WiFi for 2 hours,1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
10,PSPV-TCs-855,,Verify ping continues after WiFi AP switching,1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
11,PSPV-TCs-1134,,"NIC-Audio : Long duration Audio Playback for ""X"" hours.",1,740,Need to ensure timings(timeout),Audio,Script uploaded
12,PSPV-TCs-1135,,"Stability : NiC-Graphics : Long duration Video Playback for ""X"" hours.	",1,740,Need to ensure timings(timeout),Video,Script uploaded
13,PSPV-TC-4901,,Verify trick mode during VC-1 video playback using Movies and TV app,1,130,Need to ensure timings(timeout),Video,Script uploaded
14,PSPV-TC-13968,,Verify MP3 music playback with different bit rates,1,130,Need to ensure timings(timeout),Audio,Script uploaded
15,PSPV-TC-14001,,Verify pause and resume of Audio playback after 3 Minutes,1,130,Need to ensure timings(timeout),Audio,Script uploaded
16,PSPV-TC-14024,,Verify WLAN Browsing after S4 (hibernate) cycles (x5),1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
17,PSPV-TC-14072,,Verify simultaneous audio recording and audio playback,1,130,Need to ensure timings(timeout),Audio,Script uploaded
18,PSPV-TCs-494,,"WiFi stress: Connect and Disconnect to AP, Enable and Disable WiFi in Device Manager, RF kill ON and OFF in loop for 10 times.",1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
19,PSPV-TC-3891,,Verify video playback before and after changing Screen Orientation using Movies_TV,1,130,Need to ensure timings(timeout),Video,Script uploaded
20,PSPV-TC-14054,,Verify WLAN Browsing after S5 (Shutdown with fast startup disabled) cycles (x5),3,130,Shutdown,Connectivity.WiFi,Script uploaded
21,PSPV-TC-14055,,Verify WLAN Browsing after Restart cycles (x5),3,130,Restart,Connectivity.WiFi,Script uploaded
22,PSPV-TC-14286,,Verify WLAN Browsing after S5 (Shutdown with fast startup enabled) cycles,3,130,Shutdown,Connectivity.WiFi,Script uploaded
23,PSPV-TCs-15033,,Verify the WiFi RF Kill and Airplane mode switch (x5) impact on WiFi Browsing,1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
24,PSPV-TCs-101,,Verify youtube playback for overnight,1,740,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
25,PSPV-TCs-595,,Verify different operations on jpg image using Photos application,1,130,Need to ensure timings(timeout),Graphics,Script uploaded
26,PSPV-TCs-1628,,Verify Youku Video Playback on edge browser before and after S3 cycle,1,130,Need to ensure timings(timeout),Connectivity.WiFi,Script uploaded
27,PSPV-TC-14268,,Verify QHD eDP panel functionality in different resolutions,1,130,Need to ensure timings(timeout),Display,Script uploaded
28,PSPV-TCs-10016,,Verify Hammock harbor audio test application,1,130,Need to ensure timings(timeout),Audio,Script uploaded
29,PSPV-TCs-1083,,Verify P state variation based on workload in Windows OS and Turbo is Disabled,3,130,Restart,Power_Management,Script uploaded
30,PSPV-TCs-1092,,NiC: Verify system stability during running sleep(S3) cycles,1,2880,Need to ensure timings(timeout),Power_Management,Script uploaded
31,PSPV-TCs-1128,,NiC: Verify system stability during Warm reset cycles,3,2880,Restart,Power_Management,Script uploaded
32,PSPV-TCs-18259,,Verify 100 Warm Reset cycles with Driver Verifier Enabled,4,300,Restart,Power_Management,Script uploaded
33,PSPV-TCs-6525,,Verify P state variation based on workload in Windows OS and Turbo is enabled,3,130,Restart,Power_Management,Script uploaded
34,PSPV-TCs-732,,NiC: Verify system stability during Hibernate(S4) cycles,1,2880,Need to ensure timings(timeout),Power_Management,Script uploaded
35,PSPV-TCs-733,,Verify 100 Hibernate(S4)/cycles with Driver Verifier Enabled,2,625,S4,Power_Management,Script uploaded
36,PSPV-TCs-741,,Sx:Verify 100 S3 cycles with Driver Verifier Enabled (IRP Logging),3,2620,S3,Power_Management,Script uploaded
